1,0:0.366;1:0.068;2:0.206;3:0.361
3,0:0.391;1:0.03;2:0.19;3:0.39
5,0:0.29;1:0.049;2:0.357;3:0.304
6,0:0.544;2:0.004;3:0.453
7,0:0.505;2:0.001;3:0.494
11,0:0.027;1:0.21;2:0.732;3:0.032
13,0:0.015;1:0.373;2:0.596;3:0.017
14,1:0.999;2:0.001
15,1:1.0
16,1:1.0
17,1:0.998;2:0.002
21,1:1.0
22,1:1.0
23,1:1.0
24,1:1.0
