1,A:0.25;E:0.25;C:0.25;M:0.25
3,A:0.25;E:0.25;C:0.25;M:0.25
4,A:0.25;E:0.25;C:0.25;M:0.25
6,A:0.771;M:0.229
8,A:0.574;M:0.426
11,A:0.228;E:0.298;C:0.298;M:0.175
12,A:0.038;E:0.538;C:0.423
15,C:1.0
17,C:1.0
19,C:1.0
21,C:1.0
22,C:1.0
24,C:1.0
25,C:1.0
26,C:1.0
