2,1000,E:1000
4,1000,E:377;C:623
6,786,A:1;E:488;C:297
7,999,A:776;E:140;C:83
8,995,A:804;E:30;C:21;M:140
12,580,E:361;C:219
14,718,A:1;E:484;C:233
15,1000,E:10;C:990
16,568,C:568
17,469,C:469
18,609,C:609
22,521,C:521
23,287,C:287
24,484,C:484
25,557,C:557
