Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.log.txt
Summary:                         False
Seed                             4032721794
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     2
Base frequency (PI's)            None
Character Symbols:               D,G
Using a covarion model:          False
Restrictions:
    qDG                          None
    qGD                          None
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Tree No	Lh	qDG	qGD	Root P(D)	Root P(G)	
431	-7.314230	5.396292	5.365893	0.152515	0.847485	
432	-7.894288	8.579560	7.020571	0.310685	0.689315	
433	-8.033471	7.394714	6.022266	0.356348	0.643652	
434	-8.166330	5.553457	5.553915	0.213825	0.786175	
435	-7.722414	7.064508	4.999888	0.303512	0.696488	
436	-7.846708	6.144906	5.375860	0.307117	0.692883	
437	-7.753305	8.045517	6.952886	0.311504	0.688496	
438	-7.606239	5.177961	5.453354	0.150815	0.849185	
439	-7.440670	9.249552	6.985739	0.316361	0.683639	
440	-7.943757	8.040203	5.819741	0.312761	0.687239	
441	-8.499164	9.821669	8.419859	0.358732	0.641268	
442	-8.021355	6.797284	6.159218	0.289105	0.710895	
443	-7.867835	6.297357	4.438845	0.333699	0.666301	
444	-7.581827	6.106295	5.080046	0.222668	0.777332	
445	-7.944163	8.402704	6.753383	0.314328	0.685672	
446	-7.427858	7.355034	5.698563	0.253045	0.746955	
447	-7.253556	7.672739	6.135699	0.177335	0.822665	
448	-7.854322	6.765548	6.226672	0.317797	0.682203	
449	-8.056393	6.129277	5.682704	0.201510	0.798490	
450	-8.345018	6.168034	5.277864	0.211547	0.788453	
451	-7.719832	6.244060	5.136340	0.210777	0.789223	
452	-7.852444	5.892142	6.086131	0.214734	0.785266	
453	-7.560411	6.750348	5.829589	0.206295	0.793705	
454	-7.963135	6.558641	5.126506	0.331520	0.668480	
455	-7.855762	9.061486	7.135843	0.374943	0.625057	
456	-8.106604	6.508766	6.448343	0.232011	0.767989	
457	-7.737519	6.389882	6.646181	0.201455	0.798545	
458	-7.476638	8.071061	6.708531	0.279122	0.720878	
459	-7.945952	7.035039	5.302984	0.292955	0.707045	
460	-7.317719	7.377253	5.911356	0.272381	0.727619	
461	-7.942442	8.140960	5.869563	0.308464	0.691536	
462	-7.649233	4.496334	4.708663	0.111586	0.888414	
463	-8.047478	6.723616	5.187413	0.289556	0.710444	
464	-8.306579	7.097941	6.913937	0.201896	0.798104	
465	-7.379679	6.272044	4.946999	0.258077	0.741923	
466	-7.779413	5.750326	5.872198	0.205549	0.794451	
467	-7.912357	7.927539	6.843811	0.211480	0.788520	
468	-7.882852	6.272962	5.645791	0.244889	0.755111	
469	-7.565213	5.849492	6.234716	0.145010	0.854990	
470	-8.202626	5.912817	5.793911	0.184274	0.815726	
471	-7.584791	6.200702	5.628434	0.155785	0.844215	
472	-8.312671	8.334928	6.687835	0.299470	0.700530	
473	-7.872881	6.779363	7.098680	0.213571	0.786429	
474	-7.588593	8.040105	5.669498	0.306299	0.693701	
475	-7.600374	7.020854	6.585534	0.223735	0.776265	
476	-7.609436	6.710597	5.952018	0.153860	0.846140	
477	-7.952953	5.813602	5.504066	0.230116	0.769884	
478	-7.559621	5.412542	5.470364	0.195771	0.804229	
479	-7.867213	6.399612	4.953611	0.242429	0.757571	
480	-7.344512	6.897125	5.739186	0.260803	0.739197	
481	-7.803016	5.877360	4.815657	0.320717	0.679283	
482	-7.410279	5.938985	5.694984	0.206366	0.793634	
483	-7.764067	7.103284	5.848140	0.199380	0.800620	
484	-7.436863	4.758497	4.745118	0.171675	0.828325	
485	-7.962450	7.480620	6.460645	0.304687	0.695313	
486	-7.841513	8.907870	7.530955	0.300668	0.699332	
487	-7.687751	6.774026	5.701871	0.285547	0.714453	
488	-7.585670	6.876735	5.405304	0.324012	0.675988	
489	-7.463645	6.988319	5.546087	0.287579	0.712421	
490	-7.817956	8.454332	6.248724	0.343986	0.656014	
491	-7.538568	5.773946	4.641909	0.217386	0.782614	
492	-8.133282	4.933053	3.917846	0.230705	0.769295	
493	-7.281436	6.336980	5.087034	0.246527	0.753473	
494	-8.256225	7.101060	5.380577	0.299677	0.700323	
495	-7.647022	4.566362	4.137121	0.254760	0.745240	
496	-8.205327	4.806174	5.171139	0.140403	0.859597	
497	-7.333340	6.949926	5.961908	0.285418	0.714582	
498	-8.161200	6.688980	5.165862	0.299840	0.700160	
499	-7.866375	5.788828	5.204120	0.205027	0.794973	
500	-7.163122	6.048006	5.917687	0.163365	0.836635	
